#,courseNo,genEdType,isInter,isThOrInter,courseNameEn,courseNameTh,courseDescTh,courseDescEn
104,2112210,Science-Mathematic,,,WATER AND SOCIETY,"น้ำกับสังคม  ",ความสำคัญของทรัพยากรน้ำ บริบทและบทบาทของทรัพยากรน้ำต่อสังคม สิ่งแวดล้อม และชุมชน วัฎจักรน้ำ น้ำผิวดิน น้ำจากฟ้า น้ำหลาก น้ำท่า การกัดเซาะพังทลาย คุณภาพน้ำ การรุกล้ำของน้ำเค็ม น้ำใต้ดิน การเก็บกักน้ำใต้ดิน การนำน้ำใต้ดินมาใช้ การทรุดตัวของแผ่นดิน คุณภาพน้ำใต้ดิน การปนเปื้อนของน้ำใต้ดิน การแก้ไขปัญหาการปนเปื้อน น้ำประปา กระบวนการผลิตน้ำประปา ระบบกระจายน้ำ ระบบประปาหมู่บ้าน น้ำเสีย พารามิเตอร์น้ำเสีย เทคโนโลยีในการบำบัดน้ำเสีย สภาพและปัญหาเกี่ยวกับทรัพยากรน้ำและสังคมและทางเลือกในการแก้ไข น้ำท่วม น้ำแล้ง การเปลี่ยนแปลงสภาพภูมิอากาศ ปัญหาการจัดการน้ำข้ามพรมแดน วิธีการบรรเทาปัญหาน้ำท่วมและน้ำแล้ง การใช้มาตรการที่เป็นโครงสร้างเขื่อน/อ่างเก็บน้ำ การเก็บน้ำฝน/การทำฝน ระบบระบายน้ำ การนำน้ำกลับมาใช้ใหม่ การใช้มาตรการที่ไม่ใช่โครงสร้าง การพยากรณ์และระบบเตือนภัย การใช้น้ำร่วมกัน กฎ ระเบียบ และข้อบังคับที่เกี่ยวข้อง,"Importance of Water Resources, control and roles of water resources in society, environment, and community water cycle surface water, precipitation, surface runoff, stream flow erosion surface water quality, saltwater intrusion, groundwater, groundwater storage groundwater abstraction land subsidence groundwater quality, groundwater contamination, remediation for contaminated groundwater water, supply water production process, water distribution system village water supply, wastewater, wastewater parameters, treatment technologies, water resources situation in the society, flood drought climate change and impacts transboundary water resources problems, flood and drought mitigation measures, structural measures, dam/reservoir, rainfall harvesting water drainage system water reuse program non-structural measures, forecasting and warning system, conjunctive use of surface and groundwater; mooted laws and regulations."
105,2140145,Science-Mathematic,,,HOME IMPROVEMENT,"การปรับปรุงที่อยู่อาศัย ",ความเข้าใจพื้นฐานเกี่ยวกับอุปกรณ์และเครื่องมือช่างขั้นพื้นฐาน ระบบไฟฟ้า ระบบแสงสว่าง ระบบปรับอากาศ ระบบประปา  ระบบท่อน้ำทิ้ง การตรวจสอบรอยร้าว รอยรั่ว การเลือกอุปกรณ์เครื่องใช้ไฟฟ้าในบ้าน หลักการอนุรักษ์พลังงาน การซ่อมบำรุงระบบต่างๆในบ้านขั้นพื้นฐาน,"Fundamental understanding of basic tools and hardware; electricity system; lighting system, air conditioning system; piping system; sewage system; crack and leak investigation; selection of household electrical appliances; principle energy conservation; basic maintenance of household system."
106,2142109,Science-Mathematic,1,,AUTOMOTIVE STUDIES,"ยานยนต์ศึกษา ",เทคโนโยลียานยนต์ขั้นพื้นฐาน โครงสร้างของรถยนต์ หัวข้อคัดสรรด้านเทคโนโลยียานยนต์ การบำรุงรักษาขั้นพื้นฐาน โครงสร้างอุตสาหกรรมยานยนต์ในประเทศไทย ศักยภาพและความสามารถของอุตสาหกรรมยานยนต์ไทย ระบบขนส่งมวลชน,"Basic automotive technology structure of automobiles; selected topics in automotive technology; routine maintenance; automotive industry profile in Thailand potential/capabilities of Thai automotive industry; logistics."
107,2147102,Science-Mathematic,1,,INTRODUCTION TO ROBOTICS ENGINEERING,"ปริทัศน์วิศวกรรมหุ่นยนต์ ",พื้นฐานหุ่นยนต์ในรูปแบบต่างๆ และการใช้งานหุ่นยนต์ในรูปแบบต่างๆ การสร้างหุ่นยนต์เบื้องต้น การเขียนโปรแกรมควบคุมหุ่นยนต์เบื้องต้น,"Introduction to verity types of robotics and their application, build a robot and write a basic programing for a robot "
108,2147111,Science-Mathematic,1,,EXPLORING ROBOTICS ENGINEERING,"ท่องวิศวกรรมหุ่นยนต์ ","หัวข้อทางวิศวกรรมหุ่นยนต์ที่เกี่ยวข้องกับชีวิตประจำวัน ได้แก่ พลังงาน ทรัพยากร สิ่งแวดล้อม การผลิต กระบวนการ อุตสาหกรรม วัสดุ ยานยนต์ โครงสร้างพื้นฐาน ระบบสารสนเทศ และวิศวกรรมชีวภาพ ","Robotics engineering topics related to daily life: energy, resources, environment manufacturing, process, industry, material, automotive, infrastructure, information system and bio engineering."
109,2200183,Humanities,,,THAI CIVILIZATION,"อารยธรรมไทย  ",วิวัฒนาการของสังคมไทยในด้านชีวิตความเป็นอยู่ ความคิด ความเชื่อ และการแสดงออกด้านวัฒนธรรมและด้านศิลปกรรม ซึ่งก่อให้เกิดบูรณาการของอารยธรรมไทย ในด้านการเมือง เศรษฐกิจ และสังคม ตลอดจนในด้านลักษณะความคิด ความเชื่อ ภูมิปัญญา และงานสร้างสรรค์,"The development of Thai society: way of life, ideas, beliefs, cultural, and artistic expression, all of which have resulted in the political, economics and social integration as well as the ideological, intellectual and artistic integration of Thai Civilization."
110,2200185,Humanities,,,SURVEY OF ARTIFACTS AND ARCHAEOLOGICAL SITES IN THAILAND,"ปริทัศน์ศิลปะและโบราณวัตถุสถานในประเทศไทย  ",ศิลปะและโบราณวัตถุสถานที่สำคัญในประเทศไทย วิเคราะห์สุนทรียลักษณ์ความหมายและอรรถประโยชน์ในมิติทางอารยธรรม เพื่ออธิบายคุณค่าเชิงศิลปะและเชิงช่างที่สอดคล้องกับวิถีชีวิต สังคม ความคิด ความเชื่อ ตลอดจนการรับและการถ่ายทอดมโนทัศน์ทางศิลปะและวิทยาการ,"Principal artifacts and archeological sites in Thailand: analysis of aesthetic values as seen from their artistic and technical forms that reflect ways of life, society, thought, and belief; acquisition and transfer of art concepts and technical methods, meanings and utility in civilization dimension."
111,2200201,Humanities,1,,ACADEMIC REPORT WRITING,"การเขียนรายงานเชิงวิชาการ ",วิธีใช้ทรัพยากรสารนิเทศอย่างมีประสิทธิภาพ วิธีการเข้าถึงสารนิเทศจากบัตรรายการ ดรรชนีวารสาร หนังสืออ้างอิงและฐานข้อมูล วิธีการทำวิจัยเบื้องต้น การจดบันทึก การรวบรวมบรรณานุกรมและการลงเชิงอรรถ วิธีการเขียนที่มีการวิเคราะห์ข้อมูลและอ้างเหตุผล การใช้ถ้อยคำให้ถูกต้องเหมาะสม ความชัดเจนในการใช้ภาษา การจัดทำรายงานโดยใช้คอมพิวเตอร์ประมวลข้อมูล,"Effective use of information resources; access to information through the library catalog, periodical indexes, references and database; basic research methods: note-taking, bibliography and footnotes, analytical and argumentative writing; proper use of words; clarity of language; report writing, with the use of word processing programs."
112,2200222,Humanities,,,VERNACULAR ARCHITECTURE AND THAI SOCIETY,สถาปัตยกรรมพื้นถิ่นกับสังคมไทย,ความหมาย ประเภท และเอกลักษณ์ของงานสถาปัตยกรรมไทยพื้นถิ่น ความสัมพันธ์ระหว่างศิลปะและงานช่างกับวิถีชีวิต สังคม ความคิด และความเชื่อ บทบาทของสถาปัตยกรรมพื้นถิ่นที่มีต่ออารยธรรมไทย,"Meanings, categories and uniqueness of Thai vernacular architecture; relationship between art and crafts and ways of life, society, thoughts, and beliefs; roles of vernacular architecture in Thai civilization.  "
113,2200223,Humanities,,,PAINTING AND THAI SOCIETY,จิตรกรรมกับสังคมไทย,พัฒนาการของจิตรกรรมไทย ความสัมพันธ์ของคติความเชื่อ ความคิด และสภาพแวดล้อมในสังคมไทย การสร้างสรรค์งานจิตรกรรมไทยประเพณีและจิตรกรรมไทยร่วมสมัย,"Development of Thai painting; relationship between spiritual beliefs, thoughts and environment in Thai society; creation of fractional and contemporary Thai paintings."
114,2200226,Humanities,,,FOLK MUSIC IN THAI SOCIETY,"ดนตรีพื้นเมืองในสังคมไทย  ",ความเป็นมาของการร้องรำในสังคมไทย บูรณาการคติความเชื่อ วิถีชีวิต และสภาพแวดล้อมที่มีอิทธิพลต่อการสร้างสรรค์ดนตรีและการฟ้อนรำพื้นเมืองลักษณะต่าง ๆ แรงบันดาลใจ การสร้างสรรค์ และวิธีการแสดงดนตรีและการฟ้อนรำในแต่ละท้องถิ่น,"Background of Thai folk music and dances; integration of spiritual beliefs, ways of life and environment that influence the creation of Thai folk music and dances; presentations, motivations and creation of music and dances in different regions."
115,2200227,Humanities,,,THAI CLASSICAL MUSIC AND DRAMATIC ART,"นาฏยสังคีตศิลป์ไทย ",ประวัติ พัฒนาการ และความรู้พื้นฐานเกี่ยวกับนาฏยศิลป์และสังคีตศิลป์ไทยประเภทต่าง ๆ ความสัมพันธ์กับสังคมไทย,"History, development, and basic knowledge about different types of Thai classical music and dramatic arts; their relations with Thai society.  "
116,2200330,Humanities,,,TIPITAKA AND WAYS OF LIFE,"พระไตรปิฎกกับวิถีชีวิต  ",ความสำคัญของพระไตรปิฎกที่มีต่อชีวิตและสังคม โดยเฉพาะในฐานะที่เป็นมรดกธรรมอันเป็นรากฐานแห่งสันติสุขของชีวิตและสังคมทุกกาลสมัย วัฒนธรรมพระไตรปิฎกในสังคมไทย พระไตรปิฎกกับการปฏิบัติในชีวิตและสังคมปัจจุบัน,"Significance of Tipitaka on life and society, especially as dharma heritage, the basis for peacefulness in life and society at all times; Tipitaka culture in Thai society; Tipitaka and its practice in modern life and society."
117,2200387,Humanities,,,ARCHAEOLOGY IN THAILAND,"โบราณคดีในประเทศไทย  ",วิธีการและทฤษฎีทางโบราณคดี ความสัมพันธ์ระหว่างโบราณคดีกับศิลปะและสาขาอื่น ๆ ที่เกี่ยวข้อง การตีความศิลปวัตถุและโบราณสถานตั้งแต่ยุคสมัยก่อนประวัติศาสตร์จนถึงสมัยรัตนโกสินทร์ แนวทางการอนุรักษ์ศิลปะและหลักฐานทางโบราณคดีในประเทศไทย,"Methods and Theories of archaeology; relationship between archaeology and art, and other relate fields; interpretation and architectural remains from pre-historical period to Rattanakosin Era; approaches to conservation of art and archaeology evidence in Thailand."
118,2200389,Humanities,,,ICONOGRAPHY,"ประติมานวิทยา  ",ตำนาน และคติความเชื่อในพระพุทธศาสนาและศาสนาฮินดูที่เกี่ยวข้องกับประติมานวิทยา ได้แก่ รูปเคารพ งานประติมากรรมเพื่อประดับตกแต่ง การวิเคราะห์และตีความ รวมทั้งรูปแบบการถ่ายทอดมโนทัศน์ทางศิลปวิทยาการผ่านกระบวนการสร้างสรรค์ผลงานจิตรกรรม ประติกรรม และสถาปัตยกรรมในสังคมไทย,"Legends and spiritual beliefs in Buddhism and Hinduism relating to iconography: sacred images, and decorative sculptures; analysis and interpretation of the meanings and ways of expressing intellectual concepts through the creation of paintings, sculptures and architectural works in Thai society."
119,2200390,Humanities,,,INFLUENCES OF FOREIGN CULTURESON THAI ART,อิทธิพลวัฒนธรรมต่างชาติในศิลปะไทย,การรับและบูรณาการวัฒนธรรมต่างชาติในสังคมไทย อิทธิพลของวัฒนธรรมอินเดีย ลังกา เขมร จีน โลกมุสลิม และโลกตะวันตกในการสร้างสรรค์ศิลปะไทย,"Acquisition and integration of foreign cultures in Thai society; influences of Indian, Sinhalese, Khmer, Chinese, Islamic, and Western cultures on the creation of Thai art.  "
120,2200391,Humanities,,,CONTEMPORARY ART AND THAI AND SOUTHEAST ASIAN SOCIETIES,"ศิลปะร่วมสมัยกับสังคมไทยและเอเชียตะวันออกเฉียงใต้  ","ความหมาย ประเภท และเอกลักษณ์ของศิลปะร่วมสมัยในสังคมไทยและเอเชียตะวันออกเฉียงใต้ ความสัมพันธ์ระหว่างสุนทรียลักษณ์ศิลปะร่วมสมัยกับวิถีชีวิต สังคม ความคิด และความเชื่อในสังคมไทยและเอเชียตะวันออกเฉียงใต้  ","Meanings, categories and uniqueness of contemporary art in Thai and Southeast Asian societies; relationship between the aesthetics of contemporary art and ways of life, society, thoughts and beliefs in Thai and Southeast Asian societies."
121,2200392,Humanities,,,ANCIENT ART IN SIAM AND SOUTHEAST ASIA,"ศิลปะโบราณในสยามและเอเชียตะวันออกเฉียงใต้  ",วิวัฒนาการของศิลปะอันสัมพันธ์กับหลักฐานทางโบราณคดี ภายหลังการเผยแพร่วัฒนธรรมอินเดียและลังกาสู่กลุ่มวัฒนธรรมฟูนัน ทวารวดี ศรีวิชัย ชวา มอญ เขมร จาม พยู พม่า สยาม และลาว ตลอดจนปฏิสัมพันธ์ทางวัฒนธรรมที่ปรากฏตามหลักฐานทางโบราณคดี,"The evolution of art in relation to the archaeological evidence after the expansion of the Indian and Singhalese cultural groups of Funun, Dvaravati, Srivijaya, Java, Mon, Khmer, Cham, Pyu, Myanmar,Siam and Laos; cultural interrelations as appeared in the archaeological evidence."
122,2200393,Humanities,,,LANGUAGE AND CULTURE FOR ART AND ARCHAEOLOGY,"ภาษาและวัฒนธรรมเพื่อศิลปะและโบราณคดี  ",คำศัพท์ และสำนวนไทยที่ใช้ในงานศิลปะ สถาปัตยกรรม และโบราณคดี ความหมายและความสัมพันธ์กับวัฒนธรรม,"Study of Thai vocabulary and idioms used in fine art, architecture, and archaeology; meanings and relationship with culture.  "
123,2200394,Humanities,,,CUSTOMS AND FESTIVALS IN THAI SOCIETY,"ประเพณีและเทศกาลในสังคมไทย  ",ความสำคัญของประเพณีและเทศกาลในสังคมไทย หน้าที่ของประเพณีและเทศกาลต่อวิถีชีวิต คติความเชื่อ และภูมิปัญญาไทย ประเพณีและเทศกาลประจำปีในสังคมไทย,"The significance of customs and festivals in Thai society; their functions in Thai ways of life, spiritual beliefs, values and wisdom; annual customs and festivals in Thai society.  "
124,2200395,Humanities,,,ROYAL TRADITIONS AND STATE CEREMONIES IN THAI ROYAL COURT,"ราชประเพณีและพระราชพิธีในราชสำนักไทย ",ความหมายและหน้าที่ของราชประเพณีและพระราชพิธีในประเทศไทย พัฒนาการของราชประเพณีและพระราชพิธีในประวัติศาสตร์ไทย ราชประเพณีและพระราชพิธีสำคัญในราชสำนักไทย,"Meanings and functions of royal traditions and state ceremonies in Thailand; their development in Thai history; significant traditions and state ceremonies in Thai Royal Court.  "
125,2200396,Humanities,,,RELIGIOUS RITUALS IN THAI SOCIETY,ศาสนาพิธีในสังคมไทย,ความหมายและหน้าที่ของพิธีกรรมทางศาสนาในสังคมไทย พิธีกรรมทางพุทธศาสนาและศาสนาพราหมณ์ในสังคมไทย ความสัมพันธ์ระหว่างศาสนากับพิธีกรรม วิถีชีวิต ความเชื่อ ค่านิยม ภูมิปัญญา และการสร้างสรรค์พิธีกรรมในสังคมไทย,"Meanings and functions of religious rituals in Thai society; Buddhist and Hindu rituals in Thai society; relationship between religions and rituals, ways of life, beliefs, values, wisdom, and creation of rituals in Thai society."
126,2204180,Humanities,,,CIVILIZATION,"อารยธรรม  ",ศึกษาความเป็นมาและความเจริญของมนุษย์ตั้งแต่สมัยก่อนประวัติศาสตร์ สมัยโบราณ สมัยกลาง สมัยใหม่ จนถึงสมัยปัจจุบัน ปฏิสัมพันธ์ระหว่างสภาพสังคม เศรษฐกิจ การเมืองกับปัญญาความคิดและงาน สร้างสรรค์ทางศิลปะในแต่ละสมัย สุนทรียภาพของงานที่สะท้อนความเจริญของมนุษย์ในแต่ละสมัย,"The origin and progress of mankind from the Prehistoric, the Ancients, thd Middle Ages, the Modern to the present; interaction in each period among social, economic and political conditions, wisdom and creative arts; aesthetic aspect of work reflecting the progress of man in each period."
127,2206101,Humanities,,,RESEARCH AND ACADEMIC REPORT WRITING,"การค้นคว้าและเขียนรายงานเชิงวิชาการ  ",การค้นคว้าวิจัยประเภทต่าง ๆ ประเภทของทรัพยากรสารนิเทศ การเข้าถึงและการรวบรวมทรัพยากรสารนิเทศ การอ่าน และการจดบันทึก การเขียนรายงาน การเขียนเชิงอรรถ รายการอ้างอิง และบรรณานุกรม จริยธรรมและกฎหมายที่เกี่ยวข้อง,"Types of research; various kinds of information resources; accessing and gathering information resources; reading and note taking; report writing; footnote, reference and bibliography writing; applicable ethics and laws."
128,2207103,Humanities,,,PHILOSOPHY AND LOGIC,"ปรัชญาและตรรกวิทยา  ",ความหมายและขอบข่ายของปรัชญา ได้แก่ ปัญหาเกี่ยวกับความจริงสูงสุด ความรู้ ที่มาของความรู้ ปัญหาด้านจริยศาสตร์ สุนทรียศาสตร์ และปรัชญาประยุกต์ ตรรกวิทยาในฐานะเป็นเครื่องมือของปรัชญา ลักษณะการอ้างเหตุผลแบบอุปนัยและนิรนัย หลักเกณฑ์และความสมเหตุสมผลในการอ้างเหตุผล วิเคราะห์การอ้างเหตุผลในภาษาที่ใช้ประจำวัน,"Meaning and Scope of Philosophy: major problems of ultimate reality, knowledge and sources of knowledge, ethics, aesthetics and applied philosophy; logic as an instrument of Philosophy; nature of inductive and deductive methods of reasoning; principles of valid and invalid reasoning; an analysis of reasoning in ordinary language."
129,2207201,Humanities,,,HISTORY OF WESTERN PHILOSOPHY,"ประวัติปรัชญาตะวันตก  ",ความคิดหลักในปรัชญายุคก่อนโสเครตีสถึงสมัยปัจจุบัน,"Basic ideas in philosophy from Pre-Socratic to the contemporary period."
130,2207203,Humanities,,,PHILOSOPHY AND FILMS,"ปรัชญากับภาพยนตร์  ",แนวคิด ข้อโต้แย้งทางปรัชญา และประเด็นทางจริยธรรมในชีวิตร่วมสมัยซึ่งนำเสนอในภาพยนตร์,"Concepts, philosophical arguments and ethical issues in contemporary life as depicted in films."
131,2207341,Humanities,,,SYMBOLIC LOGIC,"ตรรกวิทยาสัญลักษณ์  ",ตรรกวิทยาประโยค ตรรกวิทยาภาคขยาย การอ้างเหตุผลที่สมเหตุสมผล วิธีแสดงความสมเหตุสมผลและไม่สมเหตุสมผลของการอ้างเหตุผล กลุ่มข้อความที่สอดคล้องกันและกลุ่มข้อความไม่สอดคล้องกัน,"Propositional logic; predicate logic; valid arguments; methods of showing validity and invalidity of arguments; consistent and inconsistent sets of statements."
132,2207361,Humanities,,,AESTHETICS,"สุนทรียศาสตร์  ",ทฤษฎีสำคัญทางศิลปะ ปัญหาในการนิยามศิลปะ ตำแหน่งของความงาม ทัศนคติเชิงสุนทรียะ ประสบการณ์เชิงสุนทรียะและการตัดสินเชิงสุนทรียะ,"Major theories of art; problem of defining art; locus of beauty; aesthetic attitude; aesthetic experienced and aesthetic judgment."
133,2207363,Humanities,,,ETHICS,"จริยศาสตร์  ",ทฤษฎีทางจริยศาสตร์ที่สำคัญ และปัญหาจริยศาสตร์ปัจจุบัน ปัญหาการทำแท้ง ปัญหาสภาพแวดล้อม ปัญหาการลงโทษ,"Important ethical theories and contemporary moral issues: abortion, environmental crisis, punishment."
134,2207365,Humanities,,,POLITICAL PHILOSOPHY,"ปรัชญาการเมือง  ",ปัญหาหลักในวิชาปรัชญาการเมืองดังต่อไปนี้ ความจำเป็นที่จะต้องมีรัฐธรรมชาติของรัฐที่ชอบธรรม ขอบเขตอำนาจของรัฐ วิธีการที่พึงใช้ในการเปลี่ยนแปลงระบบการเมือง การแก้ปัญหาโดยนักปรัชญาการเมือง ลัทธิสำคัญ ได้แก่ ลัทธิเสรีนิยมประชาธิปไตย ลัทธิสังคมนิยม ลัทธิอนุรักษนิยม และลัทธิจิตนิยม,"The scope and content of political philosophy; analysis of major problems in political philosophy, including the necessity of a state, the nature of a legitimate state, the limit of state power, and the means people adopt to change a political system; analysis and criticism of solutions proposed by the major theories, including liberal democratic theory, socialism, conservatism, and idealism."
135,2207371,Humanities,,,PHILOSOPHY AND LITERATURE,"ปรัชญาและวรรณคดี  ",ปรัชญาในงานวรรณกรรม ปัญหาในวรรณคดี บทบาทของปรัชญาและวรรณคดีในการเข้าใจโลกและแสวงหาความจริง,"Relation between philosophy and literature; problems of interpretation and truth claims in philosophy and literature; literature as a means to moral awareness; aesthetics of literature; philosophical texts as pieces of literature.  "
136,2207385,Humanities,,,AMERICAN PHILOSOPHY,"ปรัชญาอเมริกัน  ",ความคิดทางปรัชญาของชาร์ลส์ เพียช วิลเลียม เจมส์ และ จอห์น ดิวอี้ งานของนักปรัชญาอเมริกันร่วมสมัย อิทธิพลของลัทธิปฏิบัตินิยมต่อวัฒนธรรมอเมริกัน,"Philosophical ideas of Peirce, William James, and John Dewey; the work of some contemporary American philosophers; influence of pragmatism on American culture."
137,2207387,Humanities,,,PHILOSOPHY OF WOMEN,"ปรัชญาเกี่ยวกับสตรี  ",คำอธิบาย และข้ออภิปรายเกี่ยวกับรากฐานระบบปิตาธิปไตยกับธรรมชาติของสตรี บทบาท ฐานะ และความสัมพันธ์กับบุรุษเพศ กฎเกณฑ์ทางจริยธรรมอันมีส่วนกำหนดชีวิตของสตรี และอุดมคติแห่งความเป็นหญิง ข้อเขียนสำคัญของนักปรัชญา เช่น อริสโตเติล ล็อค รุสโซ เฮเกล มิลล์ ซิโมน เดอ โบวัวร์ และ นักคิดฝ่ายสตรีนิยมอื่นๆ รากฐานทางปรัชญาสิทธิสตรี และความเสมอภาคระหว่างเพศ สถานภาพและความหมายของสตรีในคำสอนทางศาสนาสากลที่สำคัญ,"Explanations and debates on patriarchy and the nature of women, their role, status and relationship to men; ethical norms which govern women's life and the ideal of being a woman; important works by Aristotle, Locke, Rousseau, Hegel, Mill, Simone de"
138,2207467,Humanities,,,PHILOSOPHY OF LANGUAGE,ปรัชญาภาษา,เรื่องสำคัญที่เป็นพื้นฐานในการเข้าใจภาษาด้วยวิธีการทางปรัชญา ได้แก่ ความหมายทางภาษา วัจนกรรม ความสัมพันธ์ระหว่างภาษา จิตและความจริง ความรู้ทางภาษาโดยกำเนิดกับความรู้ทางภาษาโดยการเรียนรู้,"Discussion of selected topics basic to the philosophical understanding of language: linguistic meaning, speech acts, the interrelation of language, mind and reality, and innate versus learned knowledge of language."
139,2207472,Humanities,,,JAPANESE PHILOSOPHY,ปรัชญาญี่ปุ่น,บ่อเกิดความคิดของญี่ปุ่น อิทธิพลของนักคิดจีน และของพระพุทธศาสนามหายาน ที่มีต่อความคิดของญี่ปุ่น รวมถึงพัฒนาการความคิดของญี่ปุ่นตั้งแต่ พ.ศ. 1135 - 2411,"The origin of Japanese thought; the influence of Chinese thinkers and of Mahayana Buddhism on Japanese thought, including the development of Japanese thought from B.E.1135-2411."
140,2207474,Humanities,,,CHINESE PHILOSOPHY,ปรัชญาจีน,ความคิดทางปรัชญาของนักปรัชญาคนสำคัญของจีนในยุคปรัชญาเมธี และหลังยุคปรัชญาเมธี ปรัชญาจีนร่วมสมัย ปรัชญาจีนกับปรัชญาอินเดีย และปรัชญาตะวันตก,"The philosophical thoughts of the prominent Chinese philosophers of and after the Great Thinkers Period; contemporary Chinese philosophy; Chinese philosophy versus Indian and western philosophy."
141,2207478,Humanities,,,SPECIAL TOPICS IN ETHICS,"การศึกษาเฉพาะเรื่องในจริยศาสตร์  ",ศึกษาและทำความเข้าใจประเด็นที่น่าในใจทางจริยศาสตร์,"Important ethical theories and contemporary moral issues: abortion, environmental crisis, punishment."
142,2209212,Humanities,,,HUMAN LANGUAGE,ภาษามนุษย์,นิยามของภาษา วิวัฒนาการของภาษา ลักษณะของภาษามนุษย์ มโนทัศน์พื้นฐานเกี่ยวกับเสียง ระบบเสียง ระบบคำ โครงสร้างประโยค และความหมาย การวิเคราะห์ภาษาตามแนวภาษาศาสตร์ ระบบการเขียน การเปลี่ยนแปลงของภาษา ภาษากับสังคม ภาษากับสมอง,"Definition of language; language evolution; characteristics of human language; basic concepts about sounds, sound systems, sentence structures and meanings; linguistic analysis; writing systems; language change; language and society; language and the brain."
143,2209373,Humanities,,,LANGUAGE AND CULTURE,"ภาษาและวัฒนธรรม   ",ลักษณะของภาษาและวัฒนธรรม ความหมายของคำศัพท์ ภาษากับโลกทัศน์ การจำแนกประเภท คำเรียกสี คำเรียกญาติ อุปลักษณ์ ภาษากับเพศ ความหลากหลายของภาษาและวัฒนธรรม การสัมผัส ภาษาและการทำนุบำรุงภาษา,"Characteristics of language and culture; language and worldview; grammatical and cultural categories; theories and research on color terms, kinship terms and metaphor; language and gender; linguistic and cultural systems of various communities."
144,2209375,Humanities,,,LANGUAGES IN ASEAN PLUS+3,ภาษาในกลุ่มประเทศอาเซียน 3,ความหลากหลายทางภาษาในกลุ่มประเทศอาเซียน+3 ความรู้เบื้องต้นเกี่ยวกับภาษาในกลุ่มประเทศอาเซียน รวมทั้งจีน เกาหลี และญี่ปุ่น,"Linguistic diversity in ASEAN plus 3; language profiles of ASEAN countries and China, Korea, and Japan."
145,2210214,Humanities,,,LITERATURE AND ENVIRONMENT,"วรรณคดีกับสิ่งแวดล้อม  ",ธรรมชาติในฐานะแรงบันดาลใจให้เกิดวรรณคดี ความสัมพันธ์ระหว่างวรรณคดีกับสิ่งแวดล้อม พัฒนาการของทัศนะที่กวีมีต่อธรรมชาติ บทบาทของวรรณคดีในการอนุรักษ์ธรรมชาติและสิ่งแวดล้อม,"Nature as inspiration for literary creation; relationship between literature and environment; development of poets' views of nature; roles of literature in preserving nature and environment."
146,2210215,Humanities,,,LITERATURE AND WOMEN,"วรรณคดีกับสตรี  ",วรรณคดีกับสตรีในวัฒนธรรมตะวันออกและตะวันตก แนวคิดสตรีนิยม และอิทธิพลที่มีต่อวรรณคดี วรรณกรรมสตรีและนักเขียนวรรณกรรมสตรี,"Literature and women in the Eastern and Western cultures; feminist concepts and their influence on literature; women 's literature and its authors."
147,2210216,Humanities,,,MAGICAL REALIST LITERATURE,"วรรณคดีสัจนิยมมหัศจรรย์  ",ความหมายและกำเนิดของสัจนิยมมหัศจรรย์ ความสัมพันธ์ระหว่างวรรณคดีสัจนิยมมหัศจรรย์กับศิลปะรูปแบบต่างๆ ที่เกี่ยวข้อง ความหลากหลายทางรูปแบบและแนวความคิดของวรรณคดีสัจนิยมมหัศจรรย์ การศึกษาวิเคราะห์ตัวบทคัดสรร,"Definition and origins of magical realism; relationship between magical realist literature and other related artistic forms; conceptual and formal variety of magical realist literature; analysis of selected texts."
148,2210217,Humanities,,,CONTEMPORARY FICTION,"บันเทิงคดีร่วมสมัย  ",ทฤษฎีของบันเทิงคดี การศึกษาเชิงวิเคราะห์บันเทิงคดีร่วมสมัย ความสัมพันธ์ระหว่างบันเทิงคดีกับสังคมและวัฒนธรรมร่วมสมัย,"Theory of fiction; analytical study of contemporary fiction; relationship between fiction and contemporary society and culture."
149,2210218,Humanities,,,RELIGION AND SPIRITUALITY IN LITERATURE,"ศาสนาและจิตวิญญาณในวรรณคดี  ",ความสัมพันธ์ระหว่างวรรณคดีกับศาสนาและจิตวิญญาณ ประเด็นและมิติเกี่ยวกับศาสนาและจิตวิญญาณในวรรณคดีในวัฒนธรรมต่างๆ การวิเคราะห์และวิจารณ์ตัวบทคัดสรร,"Relationship between literature and religion and spirituality; religious and spiritual issues and dimensions in literature in various cultures; analysis and criticism of selected texts "
150,2210219,Humanities,,,MYSTERY FICTION,"วรรณกรรมแนวลึกลับ  ",ลักษณะเฉพาะของวรรณกรรมแนวลึกลับ ความสัมพันธ์ระหว่างวรรณกรรมแนวลึกลับกับสังคม การวิเคราะห์และตีความตัวบทคัดสรร,"Characteristics of mystery fiction; the relationship between mystery fiction and society; analysis and interpretation of selected texts."
151,2210221,Humanities,,,INTRODUCTION TO CRIME FICTION AND FILM,ปริทัศน์อาชญนิยายและภาพยนตร์,ลักษณะเฉพาะ ประวัติ และพัฒนาการของอาชญนิยาย ความสัมพันธ์ระหว่างอาชญนิยายกับสังคม การวิเคราะห์และตีความตัวบทคัดสรรทั้งในรูปแบบนวนิยายและภาพยนตร์ทั้งของไทยและต่างประเทศ,"Characteristics, history and development of crime fiction; relationship between crime fiction and society; analysis and interpretation of selected Thai and foreign crime fiction and film."
